,acteur_1,acteur_2,acteur_3,allocine_id,annee_prod,annee_sortie,box_office_fr,couleur,duree,langues,nationalite,nb_critiques_presse,nb_critiques_spectateurs,nb_notes_spectateurs,note_presse,note_spectateurs,realisateurs,synopsis,titre,type_film,genre
1729,Donnie Yen,Simon Yam,Siu-Wong Fan,146717,2008,2010.0,,Couleur,105.0,,"Chinois , hong-kongais",,534.0,4894.0,,4.4,Wilson Yip,"Film biographique sur la vie de Ip Man , un maître de Kung - Fu spécialisé dans le style Wing Chun et qui fut le mâitre de Bruce Lee . Dans les années 30 , Ip Man vit à Foshan dans le sud de la Chine , lors de l' occupation japonaise . Face à ses indéniables talents en matière d' arts martiaux , les japonais lui demandent d' entraîner les soldats , ce qu' il refuse catégoriquement . Il va alors devoir lutter pour sa survie .",Ip Man,Long-métrage,biopic
1210,Camille Chamoux,Jonathan Cohen,Camille Cottin,260363,2018,2019.0,187422.0,Couleur,102.0,Français,Français,20.0,211.0,2241.0,2.5,2.8,Patrick Cassir,"Marion et Ben , trentenaires , font connaissance sur Tinder . C’ est à peu près tout ce qu’ ils ont en commun ; mais les contraires s’ attirent , et ils décident au petit matin de leur rencontre de partir ensemble en vacances malgré l’ avis de leur entourage . Ils partiront finalement … en Bulgarie , à mi-chemin de leurs destinations rêvées : Beyrouth pour Marion , Biarritz pour Ben . Sans programme précis et , comme ils vont vite le découvrir , avec des conceptions très différentes de ce que doivent être des vacances de rêve ...",Premières vacances,Long-métrage,comédie
2697,Noémie Schmidt,Grégoire Isvarine,Marie Mottet,268232,2018,,,Couleur,83.0,Français,Français,,104.0,525.0,,1.5,Elisabeth Vogler,"Anna rencontre Greg à une soirée . Ils se rapprochent , se dévoilent l’ un à l’ autre . Un an plus tard , Greg part travailler à Barcelone . Anna décide de le rejoindre . Elle rate son vol . L’ avion s’ écrase . Prise dans le vertige d’ une mort évitée de peu , elle s’ éloigne de la réalité et du présent . Alors que son couple se désagrège , Paris devient le miroir de sa détresse .",Paris est à nous,Long-métrage,drame
3829,Allison Dawn Doiron,Jennifer Tilly,Fiona Dourif,229970,2017,2017.0,,Couleur,91.0,Anglais,Américain,,80.0,556.0,,1.8,Don Mancini,"Internée dans un hôpital psychiatrique depuis quatre ans , Nica Pierce est convaincue à tort d’ avoir tué - à la place de Chucky - toute sa famille . Mais la terreur s’ empare des lieux après une série d’ évènements terrifiants et mystérieux . La poupée tueuse au sourire diabolique n’ est peut être pas si étrangère que cela à ces évènements …",Le Retour de Chucky,Long-métrage,horreur
5389,Sean Penn,Dakota Fanning,Michelle Pfeiffer,28904,2001,2002.0,228804.0,Couleur,132.0,Anglais,Américain,17.0,141.0,2601.0,2.7,3.7,Jessie Nelson,"A la naissance de la petite Lucy , sa mère la rejette et s' enfuit , laissant l' enfant grandir avec son père Sam Dawson , un modeste employé de café defficient mentalement . Pour ce dernier , rien au monde ne compte plus que Lucy . Cependant , après quelques années , il se voit retirer la garde de sa fille par les services sociaux qui ne le trouvent pas apte à s' occuper de son éducation . Ces derniers souhaitent la placer dans une famille d' accueil . Se retrouvant seul , Sam tente l' impossible pour regagner sa fille . Rita Harrison , une avocate brillante et surmenée , accepte de défendre gratuitement son cas devant le tribunal . Progressivement , par-delà les préjugés , elle va découvrir la force exceptionnelle du lien qui unit Sam à Lucy .",Sam je suis Sam,,drame
4806,Vanessa Paradis,Bruno Cremer,Ludmila Mikaël,5118,1989,1989.0,1819295.0,Couleur,92.0,Français,Français,,85.0,1024.0,,3.1,Jean-Claude Brisseau,"Mathilde Tessier , une adolescente , tombe amoureuse de son professeur de philosophie , celui-ci possédant femme et maison charmante . Dans un premier temps , il répond à l' amour de son élève , mais cette passion , troublant l' harmonie de sa vie , va vite le déranger .",Noce blanche,Long-métrage,drame
3447,Sissy Spacek,Piper Laurie,Amy Irving,2352,1976,1977.0,,Couleur,98.0,Anglais,Américain,6.0,383.0,9448.0,4.3,3.8,Brian De Palma,"Tourmentée par une mère névrosée et tyrannique , la vie n' est pas rose pour Carrie . D' autant plus qu' elle est la tête de turc des filles du collège . Elle ne fait que subir et ne peut rendre les coups , jusqu' à ce qu' elle ne se découvre un étrange pouvoir surnaturel .",Carrie au bal du diable,,horreur
3993,Ian Ziering,Tara Reid,John Heard,222634,2013,2015.0,,Couleur,86.0,Anglais,Américain,,137.0,744.0,,1.4,Anthony C. Ferrante,"Un ouragan s' empare de Los Angeles . Des milliers de requins s' abattent sur la ville et terrorisent la population . Fin , un surfer également propriétaire de bar , accompagné de ses amis Baz et Nova , part à l' aventure afin de sauver son ex-femme April et leur fille Claudia ...",Sharknado,Télefilm,horreur
3220,Valerie Azlynn,Kevin Sorbo,Alicia Leigh Willis,196222,2011,2013.0,,Couleur,95.0,Anglais,Américain,,60.0,241.0,,1.7,P.J. Pettiette,"Une jeune femme , Julia , rencontre un homme sur un internet . Elle désire le rencontrer en personne pour lui proposer une drôle d' idée ...",Julia X,Long-métrage,horreur
1218,Masahiro Higashide,Erika Karata,Koji Seto,264002,2018,2019.0,,Couleur,119.0,Japonais,"Français , japonais",28.0,77.0,799.0,4.1,3.9,Ryusuke Hamaguchi,"Lorsque son premier grand amour disparaît du jour au lendemain , Asako est abasourdie et quitte Osaka pour changer de vie . Deux ans plus tard à Tokyo , elle tombe de nouveau amoureuse et s’ apprête à se marier ... à un homme qui ressemble trait pour trait à son premier amant évanoui .",ASAKO I&II,,romance
162,Willem Dafoe,Anna Ferrara,Cristina Chiriac,273588,2019,2020.0,,Couleur,117.0,,"Italien , britannique , américain",20.0,11.0,72.0,3.2,2.9,Abel Ferrara,"Tommaso est un artiste américain vivant à Rome avec sa jeune épouse européenne Nikki et leur fille Dee Dee âgée de 3 ans . Ancien junkie , il mène désormais une vie rangée , rythmée par l’ écriture de scénario , les séances de méditation , l’ apprentissage de l’ italien et son cours de théâtre . Mais Tommaso est rattrapé par sa jalousie maladive . À tel point que réalité et imagination viennent à se confondre .",Tommaso,Long-métrage,drame
884,Jean Reno,Benoît Magimel,Camille Natta,47703,2004,2004.0,2077171.0,Couleur,100.0,Français,"Français , britannique , italien",20.0,363.0,7655.0,2.8,2.1,Olivier Dahan,"Pour le commissaire Pierre Niemans , l' homme retrouvé emmuré dans un monastère de Lorraine n' est pas une victime comme les autres . Les signes ésotériques gravés autour de lui et l' étrange rituel de son sacrifice annoncent bien autre chose ... Lorsque Reda , jeune capitaine de la police , découvre l' exact sosie du Christ à demi mort au pied d' une église , il croit d' abord avoir sauvé un illuminé . Mais rapidement , il va s' apercevoir que cette affaire est liée à celle de Niemans , dont il fut l' élève à l' école de police ...",Les Rivières pourpres 2 - Les Anges de l' Apocalypse,Long-métrage,policier
4574,Audrey Hepburn,Henry Fonda,Mel Ferrer,16185,1956,1956.0,5880129.0,Couleur,208.0,,"Américain , italien",,34.0,340.0,3.0,3.8,King Vidor,"Moscou , 1805 . La jeune comtesse Natacha est fiancée au prince André et a pour meilleur ami le Prince Pierre . La guerre éclate , André et Pierre partent au front tandis que Natacha décide de s' occuper des malheureux . Mais André est tué au combat . A son retour , Pierre retrouve une jeune femme assagie par les épreuves et la dureté des temps ...",Guerre et paix,,historique
559,Bjarki Thor,Ragnar Jónsson,Sigurmar Albertsson,271966,2019,2020.0,,Couleur,79.0,Islandais,"Islandais , français",12.0,11.0,65.0,2.7,3.2,Rúnar Rúnarsson,"En Islande , alors que tout le monde se prépare pour les fêtes de Noël , une ambiance particulière s’ empare du pays . Entre exaltation et inquiétude , Echo dresse un portrait mordant et tendre de notre société moderne .",Echo,Long-métrage,drame
5006,Wesley Snipes,RJ Mitte,Jedidiah Goodacre,249077,2017,,,Couleur,90.0,Anglais,Américain,,28.0,192.0,,1.3,Mauro Borrelli,"Un groupe d' amis partent en week-end à la campagne , mais découvrent qu' un chasseur local leur pose problème . Ceci dit , cela n' est rien face à l' invasion extraterrestre qui menace la Terre .",The Recall,Long-métrage,science fiction
1288,Jean-Marc Barr,Jean Reno,Rosanna Arquette,3659,1988,1988.0,9194796.0,Couleur,163.0,Français,"Français , américain",5.0,635.0,160939.0,4.6,3.8,Luc Besson,"La rivalité de deux enfants , dans la mer , en Grèce , qui se poursuit lorsqu' ils sont adultes . Lequel des deux plongera le plus loin et le plus profond ? Leurs amours , leurs amitiés , avec les humains et avec les dauphins , à la poursuite d' un rêve inaccessible .",Le Grand Bleu,Long-métrage,romance
391,Seo-Hyun Ahn,Tilda Swinton,Jake Gyllenhaal,241477,2017,2017.0,,Couleur,118.0,,"Sud-Coréen , américain",14.0,241.0,7019.0,4.1,4.0,Bong Joon Ho,"Pendant dix années idylliques , la jeune Mija s' est occupée sans relâche d' Okja , un énorme animal au grand cœur , auquel elle a tenu compagnie au beau milieu des montagnes de Corée du Sud . Mais la situation évolue quand une multinationale familiale capture Okja et transporte l' animal jusqu' à New York où Lucy Mirando , la directrice narcissique et égocentrique de l' entreprise , a de grands projets pour le cher ami de la jeune fille . Sans tactique particulière , mais fixée sur son objectif , Mija se lance dans une véritable mission de sauvetage . Son périple éreintant se complique lorsqu' elle croise la route de différents groupes de capitalistes , démonstrateurs et consommateurs déterminés à s' emparer du destin d' Okja , tandis que la jeune Mija tente de ramener son ami en Corée .",Okja,Long-métrage,science fiction
935,Felicity Jones,Armie Hammer,Justin Theroux,237762,2018,2019.0,,Couleur,121.0,Anglais,Américain,10.0,78.0,1205.0,3.5,3.8,Mimi Leder,"Jeune avocate idéaliste , Ruth Bader Ginsburg vient d' avoir un enfant et ne trouve aucun cabinet prêt à engager une femme … Lorsqu' elle accepte une affaire fiscale avec son mari Martin , elle comprend qu' il y a sans doute là l' occasion de faire évoluer sa carrière . Mais elle est surtout consciente de pouvoir changer le regard de la justice sur la discrimination fondée sur le sexe . Une femme d' exception retrace les jeunes années de celle que l’ on surnomme "" Notorious RBG "" . Aujourd’hui âgée de 85 ans , elle siège à la Cour Suprême et est l’ une des plus grandes figures progressistes des États-Unis .",Une femme d' exception,Long-métrage,biopic
1633,Christian Slater,Patricia Arquette,Dennis Hopper,8584,1993,1993.0,,Couleur,120.0,Anglais,Américain,5.0,519.0,11743.0,2.4,4.0,Tony Scott,"Le jour de son anniversaire , Clarence Worley rencontre la splendide Alabama dans un cinéma miteux . Coup de foudre immédiat . Après une nuit d' amour , Alabama avoue a Clarence qu' elle a été en fait engagée par le patron de Clarence comme cadeau d' anniversaire . De là va commencer une folle aventure .",True Romance,Long-métrage,romance
5225,Billy Bob Thornton,Halle Berry,Heath Ledger,33421,2001,2002.0,145769.0,Couleur,115.0,Anglais,Américain,23.0,128.0,1151.0,3.4,3.2,Marc Forster,"Dans une petite ville du sud des Etats-Unis , Hank Grotowski , comme son père Buck avant lui , travaille au quartier des condamnés à mort au sein de la prison locale . Son fils Sonny y fait également ses débuts . Hank a depuis longtemps appris à être distant et froid , tandis que Sonny fait preuve d' une grande sensibilité . Tous deux sont en charge de l' exécution capitale de Lawrence Musgrove , un Noir dont le passe-temps favori est de dessiner des portraits . Sa femme Leticia et son fils Tyrell viennent régulièrement lui rendre visite . A la suite de tragiques événements , Hank et Leticia vont être amenés à faire connaissance . Cette rencontre va bouleverser leur existence .",A l' ombre de la haine,,romance
4085,Benoît Magimel,Boris Terral,Tchéky Karyo,26799,2000,2000.0,384878.0,Couleur,108.0,Français,"Belge , français , allemand",18.0,48.0,452.0,3.1,3.0,Gérard Corbiau,"A quatorze ans , Louis XIV sait qu' il règnera un jour mais sait aussi que l' on fera tout pour l' empêcher de gouverner . Il en est complexe . Par la danse , où le jeune roi excelle , et grâce à la musique qu' il compose pour lui , Lully le révèle à lui-même puis au monde . Louis devient le Roi-Soleil . Lully et Molière sont les grands ordonnateurs de la magie de son règne . Mais Lully aime le roi d' un amour fou et platonique et croit que celui-ci ne peut se passer de lui . Son aveuglement le perdra et Lully , apres Molière , basculera dans la nuit .",Le Roi danse,Long-métrage,historique
1528,Daniel Day-Lewis,Vicky Krieps,Lesley Manville,247980,2017,2018.0,374935.0,Couleur,131.0,Anglais,Américain,34.0,276.0,4197.0,4.3,3.8,Paul Thomas Anderson,"Dans le Londres des années 50 , juste après la guerre , le couturier de renom Reynolds Woodcock et sa soeur Cyril règnent sur le monde de la mode anglaise . Ils habillent aussi bien les familles royales que les stars de cinéma , les riches héritières ou le gratin de la haute société avec le style inimitable de la maison Woodcock . Les femmes vont et viennent dans la vie de ce célibataire aussi célèbre qu’ endurci , lui servant à la fois de muses et de compagnes jusqu’ au jour où la jeune et très déterminée Alma ne les supplante toutes pour y prendre une place centrale . Mais cet amour va bouleverser une routine jusque-là ordonnée et organisée au millimètre près .",Phantom Thread,Long-métrage,drame
1411,Rooney Mara,Channing Tatum,Jude Law,200313,2013,2013.0,485823.0,Couleur,106.0,Anglais,Américain,27.0,736.0,6294.0,3.6,3.6,Steven Soderbergh,"Jon Banks est un psychiatre ambitieux . Quand une jeune femme , Emilie , le consulte pour dépression , il lui prescrit un nouveau médicament . Lorsque la police trouve Emilie couverte de sang , un couteau à la main , le cadavre de son mari à ses pieds , sans aucun souvenir de ce qui s’ est passé , la réputation du docteur Banks est compromise …",Effets secondaires,,policier
141,Alice Isaaz,Kevin Janssens,Déborah François,268146,2019,2020.0,,Couleur,118.0,,"Français , canadien , belge",22.0,56.0,298.0,2.7,2.3,David Perrault (II),"Etats-Unis , 1861 , la guerre de Sécession fait rage . Une famille de colons français décide de fuir le Missouri où ils vivent depuis 20 ans . Edmond , Madeleine et leurs trois filles doivent traverser tout le pays pour prendre le premier bateau qui les ramènera en France . Victor , ancien mercenaire au comportement mystérieux , est chargé de veiller à la sécurité du voyage ....",L' Etat Sauvage,Long-métrage,romance
386,Jacques Gamblin,Zabou Breitman,Déborah François,127836,2008,2008.0,1211670.0,Couleur,114.0,Français,Français,17.0,1425.0,15868.0,3.6,4.1,Rémi Bezançon,"Le Premier jour du reste de ta vie , ou cinq jours décisifs dans la vie d' une famille de cinq personnes , cinq jours plus importants que d' autres où plus rien ne sera jamais pareil le lendemain .",Le premier jour du reste de ta vie,Long-métrage,drame
4641,Samantha Mugatsia,Sheila Munyiva,Jimmi Gathu,264016,2018,2018.0,,Couleur,82.0,,"Sud-Africain , Kenyan , français",19.0,24.0,310.0,3.2,3.7,Wanuri Kahiu,"À Nairobi , Kena et Ziki mènent deux vies de jeunes lycéennes bien différentes , mais cherchent chacune à leur façon à poursuivre leurs rêves . Leurs chemins se croisent en pleine campagne électorale au cours de laquelle s’ affrontent leurs pères respectifs . Attirées l’ une vers l’ autre dans une société kenyane conservatrice , les deux jeunes femmes vont être contraintes de choisir entre amour et sécurité ...",Rafiki,Long-métrage,drame
5160,Elizabeth Banks,Kristen Bell,Halle Berry,189172,2013,2013.0,39743.0,Couleur,90.0,Anglais,Américain,7.0,321.0,2066.0,2.0,2.0,"Steven Brill, Peter Farrelly, Steve Carr plus","Un célèbre acteur d’ Hollywood approche un grand studio de cinéma avec une idée de scénario qui , selon lui , a le potentiel de devenir le film le plus rentable au monde . Peter et Bobby Farrelly ont décidé de s’ atteler à une comédie dingue et bluffante réunissant le plus gros casting jamais rassemblé à ce jour …",My Movie Project,,comédie
967,Ben Affleck,Josh Hartnett,Kate Beckinsale,27417,2001,2001.0,2480622.0,Couleur,183.0,,Américain,21.0,729.0,32389.0,2.7,3.5,Michael Bay,"Amis depuis la plus tendre enfance , Rafe McCawley et Danny Walker sont deux brillants pilotes de l' armée de l' air américaine . La Seconde Guerre mondiale a commencé , mais les Etats-Unis n' ont pas encore engagé les hostilités . Rafe succombe bientôt au charme d' Evelyn Johnson , une jeune infirmière . C' est le coup de foudre . Mais ce dernier part combattre aux côtés des Britanniques . Evelyn et Danny sont , quant à eux , transférés sur la base américaine de Pearl Harbor . La paisible existence de ces deux jeunes gens bascule lorsqu' ils apprennent la mort de Rafe . Evelyn partage son chagrin avec Danny et un amour naît de leurs confidences . Rafe est pourtant vivant . En cette journée du 7 décembre 1941 , les retrouvailles et les explications vont devoir être reportées à plus tard : au même moment , près de 200 bombardiers japonais surgissent dans le ciel de Hawaï pour une attaque surprise .",Pearl Harbor,Long-métrage,romance
4657,Chiwetel Ejiofor,,,267936,2019,2019.0,,Couleur,96.0,Anglais,"Kenyan , américain",,4.0,34.0,,3.8,"Victoria Stone, Mark Deeble","Athéna , une éléphante matriarche , guide sa famille à travers un paysage hostile mais pourtant très cinématographique , fait de prairies sèches et de forêts , parsemé de mares . Les éléphants partagent leur maison avec beaucoup d’ autres espèces qui donnent de la richesse à cet écosystème . Alors que les mares se dessèchent peu à peu , Athéna n’ a d’ autre choix que de conduire sa famille dans un voyage périlleux à la recherche d’ un refuge en attendant la pluie .",The Elephant Queen,Long-métrage,documentaire
3489,Gérard Rinaldi,Gérard Filipelli,Jean Sarrus,47987,1971,1971.0,7460911.0,Couleur,90.0,Français,Français,,68.0,620.0,,2.4,Claude Zidi,"Cinq copains inséparables ont décidé de créer une formation "" pop "" . Ils utilisent comme lieu de répétition , le champ appartenant à l' oncle de l' un d' entre eux et tentent d' y construire une bicoque en "" empruntant "" des matériaux , ici et là . Ayant choisi des instruments dans un magasin , ils s' aperçoivent que la facture est trop onéreuse pour leur bourse .",Les Bidasses en folie,Long-métrage,comédie
999,Annabelle Wallis,Ward Horton,Alfre Woodard,225218,2014,2014.0,1538114.0,Couleur,98.0,Anglais,Américain,14.0,675.0,6299.0,2.1,2.1,John R. Leonetti,"John Form est certain d' avoir déniché le cadeau de ses rêves pour sa femme Mia , qui attend un enfant . Il s' agit d' une poupée ancienne , très rare , habillée dans une robe de mariée d' un blanc immaculé . Mais Mia , d' abord ravie par son cadeau , va vite déchanter . Une nuit , les membres d' une secte satanique s' introduisent dans leur maison et agressent sauvagement le couple , paniqué . Et ils ne se contentent pas de faire couler le sang et de semer la terreur – ils donnent vie à une créature monstrueuse , pire encore que leurs sinistres méfaits , permettant aux âmes damnées de revenir sur Terre : Annabelle …",Annabelle,Long-métrage,horreur
2533,Emma,Anaïs,,239054,2019,2020.0,24125.0,Couleur,135.0,Français,Français,32.0,74.0,1203.0,4.2,3.9,Sébastien Lifshitz,"Emma et Anaïs sont inséparables et pourtant , tout les oppose . Adolescentes suit leur parcours depuis leur 13 ans jusqu’ à leur majorité , cinq ans de vie où se bousculent les transformations et les premières fois . A leur 18 ans , on se demande alors quelles femmes sont - elles devenues et où en est leur amitié . A travers cette chronique de la jeunesse , le film dresse aussi le portrait de la France de ces cinq dernières années .",Adolescentes,Long-métrage,documentaire
5453,Patrick Bruel,Isabelle Carré,Alice de Lencquesaing,230835,2016,2015.0,602645.0,Couleur,94.0,Français,Français,6.0,191.0,1527.0,3.3,2.6,Anne Giafferi,"Gabrielle élève seule sa fille Claire . À 17 ans celle-ci est enceinte de Simon qui refuse de se voir imposer ce bébé . Gabrielle prend les choses en main et décide de demander de l’ aide au père de Simon . Elle débarque donc dans le bureau d’ Ange , mais celui-ci , célibataire endurci et grand séducteur , n’ a jamais assumé sa paternité et n’ a aucune intention de le faire . C’ est une première rencontre explosive mais Gabrielle ne manque ni de charme , ni de détermination .",Ange et Gabrielle,Long-métrage,romance
2443,Jake Gyllenhaal,Tobey Maguire,Natalie Portman,130950,2009,2010.0,322880.0,Couleur,105.0,Anglais,Américain,23.0,1084.0,9215.0,3.3,4.0,Jim Sheridan,"Sam & Grace forment un couple parfait et sont les parents de deux petites filles . Sam est envoyé par l' ONU en mission à l' étranger et confie à Tommy , son frère tout juste sorti de prison , le soin de s' occuper de sa famille . Lorsque Sam est porté disparu et présumé mort , Tommy et Grace se rapprochent contre toute attente . C' est alors que Sam revient du front ...",Brothers,,drame
2709,Shia LaBeouf,Rosie Huntington-Whiteley,Patrick Dempsey,144795,2011,2011.0,2622932.0,Couleur,155.0,Anglais,Américain,22.0,2183.0,22791.0,2.4,2.9,Michael Bay,"Un événement mystérieux lié à notre passé éclate au grand jour . C’ est la guerre qui menace aujourd’hui notre Terre ; une guerre d’ une telle ampleur que l’ aide des Transformers pourrait , cette fois , ne pas suffire à nous sauver .",Transformers 3 - La Face cachée de la Lune,,science fiction
1838,Jamie Lee Curtis,Judy Greer,Andi Matichak,238622,2018,2018.0,843769.0,Couleur,109.0,Anglais,Américain,32.0,360.0,3204.0,3.1,3.1,David Gordon Green,"Laurie Strode est de retour pour un affrontement final avec Michael Myers , le personnage masqué qui la hante depuis qu’ elle a échappé de justesse à sa folie meurtrière le soir d’ Halloween 40 ans plus tôt .",Halloween,Long-métrage,horreur
4668,Vanessa Paradis,Kate Moran,Nicolas Maury,243595,2018,2018.0,,Couleur,106.0,,"Français , mexicain , suisse",31.0,114.0,1030.0,3.0,2.3,Yann Gonzalez,"Paris , été 1979 . Anne est productrice de pornos gays au rabais . Lorsque Loïs , sa monteuse et compagne , la quitte , elle tente de la reconquérir en tournant un film plus ambitieux avec son complice de toujours , le flamboyant Archibald . Mais un de leurs acteurs est retrouvé sauvagement assassiné et Anne est entraînée dans une enquête étrange qui va bouleverser sa vie .",Un Couteau Dans le Coeur,Long-métrage,romance
1367,Omar Sy,James Thiérrée,Thibault de Montalembert,217656,2016,2016.0,1884566.0,Couleur,120.0,Français,Français,28.0,473.0,5235.0,3.3,3.8,Roschdy Zem,"Du cirque au théâtre , de l' anonymat à la gloire , l' incroyable destin du clown Chocolat , premier artiste noir de la scène française . Le duo inédit qu' il forme avec Footit , va rencontrer un immense succès populaire dans le Paris de la Belle époque avant que la célébrité , l' argent facile , le jeu et les discriminations n' usent leur amitié et la carrière de Chocolat . Le film retrace l' histoire de cet artiste hors du commun .",Chocolat,Long-métrage,biopic
1790,Dave Johns,Hayley Squires,Dylan McKiernan,241697,2016,2016.0,955737.0,Couleur,101.0,Anglais,"Britannique , français , belge",38.0,431.0,7062.0,3.9,4.2,Ken Loach,"Palme d' Or au Festival de Cannes 2016Pour la première fois de sa vie , Daniel Blake , un menuisier anglais de 59 ans , est contraint de faire appel à l’ aide sociale à la suite de problèmes cardiaques . Mais bien que son médecin lui ait interdit de travailler , il se voit signifier l' obligation d' une recherche d' emploi sous peine de sanction . Au cours de ses rendez-vous réguliers au « job center » , Daniel va croiser la route de Katie , mère célibataire de deux enfants qui a été contrainte d' accepter un logement à 450 km de sa ville natale pour ne pas être placée en foyer d’ accueil . Pris tous deux dans les filets des aberrations administratives de la Grande - Bretagne d’ aujourd’ hui , Daniel et Katie vont tenter de s’ entraider …","Moi , Daniel Blake",,drame
785,Jennifer Grey,Patrick Swayze,Jerry Orbach,39225,1987,1987.0,,Couleur,100.0,Anglais,Américain,,424.0,22335.0,,3.6,Emile Ardolino,"Dans les années soixante , Bébé passe des vacances familiales monotones jusqu' au jour où elle découvre qu' un groupe d' animateurs du village estival forment un groupe de danse . Pour la jeune fille sage , c' est le début de l' émancipation grâce au "" dirty dancing "" , cette danse ultra-sensuelle , et la rencontre avec Johnny Castel , le professeur de danse .",Dirty Dancing,Long-métrage,romance
2734,acteurs inconnus,,,274450,2019,2019.0,,Couleur,101.0,Français,Français,10.0,4.0,26.0,3.0,2.7,Marie-Ange Gorbanevsky,"Les vins naissent de la rencontre de la terre , du ciel , et de l’ homme … Chaque année en Bourgogne , la réussite de leur millésime est une véritable épopée . Le travail de la vigne et de la cave au fil des saisons aboutit à la création de vins exceptionnels , vivants , recherchés et adulés dans le monde entier : Romanée - Conti , Gevrey-Chambertin , Chambolle-Musigny , Meursault , Volnay … Ces vins portent en eux la parcelle de terre dont ils sont issus et l' âme des hommes qui leur ont donné vie .",L' Âme du vin,Long-métrage,documentaire
4355,Rose McGowan,Freddy Rodriguez,Josh Brolin,125577,2007,2007.0,153770.0,Couleur,105.0,Anglais,Américain,21.0,1095.0,13873.0,3.3,3.6,Robert Rodriguez,"Dans une petite ville , William et Dakota Block , un couple de médecins , constatent que leurs patients sont soudain frappés par la gangrène et affectés par un regard vide et inquiétant ... De son côté , Cherry , go - go danseuse , s' est fait arracher la jambe lors d' une attaque . Wray , son ex - petit copain , veille sur elle . Mais Cherry a beau être au plus mal , elle n' a pas dit son dernier mot . Tandis que les malades se multiplient et deviennent des agresseurs enragés , Cherry et Wray prennent la tête d' une armée destinée à empêcher l' épidémie de se propager . Si des millions d' individus sont contaminés et beaucoup succombent , une poignée d' entre eux se battront jusqu' au bout pour se réfugier dans un lieu sûr ...",Planète terreur - un film Grindhouse,Long-métrage,horreur
3965,Carey Mulligan,Helena Bonham Carter,Meryl Streep,222967,2015,2015.0,202403.0,Couleur,107.0,Anglais,Britannique,18.0,146.0,1893.0,3.3,3.8,Sarah Gavron,"Au début du siècle dernier , en Angleterre , des femmes de toutes conditions décident de se battre pour obtenir le droit de vote . Face à leurs revendications , les réactions du gouvernement sont de plus en plus brutales et les obligent à entrer dans la clandestinité pour une lutte de plus en plus radicale . Puisque les manifestations pacifiques n’ ont rien donné , celles que l’ on appelle les suffragettes finissent par avoir recours à la violence pour se faire entendre . Dans ce combat pour l’ égalité , elles sont prêtes à tout risquer : leur travail , leur maison , leurs enfants , et même leur vie . Maud est l’ une de ces femmes . Jeune , mariée , mère , elle va se jeter dans le tourbillon d’ une histoire que plus rien n’ arrêtera …",Les Suffragettes,,historique
3008,David Niven,Jean-Paul Belmondo,Bourvil,36629,1968,1969.0,5547299.0,Couleur,115.0,,"Italien , français",,137.0,5930.0,,3.8,Gérard Oury,"De Paris à Bruxelles , un train spécial va transporter les fonds secrets des nations de l' O.T.A.N. Des deux côtés de la Manche , deux individus cherchent à s' en emparer . Côté français , Arthur , petit truand débrouillard , assisté de son copain Anatole . Côté britannique , Le Cerveau , brillant escroc disposant d' une équipe de spécialistes et de moyens considérables . Mais les deux équipes programment leur hold-up le même jour , à la même heure ...",Le Cerveau,Long-métrage,policier
627,Yohan Manca,Mickael Lumière,Anton Csaszar,233486,2018,2019.0,194683.0,Couleur,110.0,Français,Français,10.0,338.0,1479.0,2.4,1.9,"Michel Munz, Gérard Bitton","Au début des années 80 , Patrick , fils à papa désinvolte , va , après son premier échec amoureux , se transformer en talentueux entrepreneur . Dov , dont la mère attend de brillantes études , quitte le lycée pour travailler dans le Sentier tout en séduisant la femme de son patron . Yvan prend de l’ assurance au fil des épreuves professionnelles . Et Serge ne cesse d’ inventer des bobards pour séduire la plus belle fille du lycée et embrouiller ses parents sur son bac .",La Vérité si je mens ! Les débuts,Long-métrage,comédie
3816,Erika Bok,Mihály Kormos,Janos Derzsi,180388,2011,2011.0,20020.0,,146.0,,"Français , suisse , hongrois , allemand",23.0,60.0,279.0,3.8,3.4,Bela Tarr,"A Turin , en 1889 , Nietzsche enlaça un cheval d' attelage épuisé puis perdit la raison . Quelque part , dans la campagne : un fermier , sa fille , une charrette et le vieux cheval . Dehors le vent se lève .",Le Cheval de Turin,,drame
658,Virginie Efira,Benjamin Lavernhe,Lucie Fagedet,231744,2015,2015.0,240643.0,Couleur,97.0,Français,Français,9.0,291.0,2830.0,3.6,3.9,Eric Besnard,"Au cœur de la Drôme provençale , Louise élève seule ses deux enfants et tente de préserver l’ exploitation familiale . Un soir , elle manque d’ écraser un inconnu au comportement singulier . Cet homme se révèle vite différent de la plupart des gens . Et sa capacité d’ émerveillement pourrait bien changer la vie de Louise et de sa famille .",Le goût des merveilles,Long-métrage,romance
3350,François Cluzet,Emmanuelle Devos,Gérard Depardieu,133525,2008,2009.0,366545.0,Couleur,130.0,Français,Français,22.0,410.0,2542.0,4.1,3.7,Xavier Giannoli,"Philippe Miller est un escroc solitaire qui vit sur les routes . Un jour , il découvre par hasard un chantier d' autoroute abandonné , arrêté depuis des années par des écologistes qui voulaient sauver une colonie de scarabées . L' arrêt des travaux avait été une catastrophe économique pour les habitants de cette région . Philippe y voit la chance de réaliser sa plus belle escroquerie . Mais son mensonge va lui échapper .",À l' origine,Long-métrage,drame
